book Name,book price
骑鹅旅行记 快乐读书吧 六年级下册课外阅读(中小学生课外阅读指导...,¥8.90
经典常谈 钢铁是怎样炼成的 原著完整正版  八年级下册初中套装2册...,¥29.20
人间草木（文学大家、生活家汪曾祺经典散文集升级版，水一样的文...,¥13.20
在细雨中呼喊（余华长篇！当我们凶狠地对待这个世界时，这个世界...,¥40.70
我越来越喜欢自己了：第九届当当影响力作家！作品入选网友热评榜...,¥12.50
昆虫备忘录：课文作家作品，小学语文教材同步配套读物（三年级下...,¥8.80
"窄门(我们所追求的幸福,究竟是来自于我们真正的内心?还是外界的定...",¥11.50
骆驼祥子 全本（《语文》推荐阅读丛书）七年级下册推荐阅读 人民...,¥13.00
呼兰河传（《呼兰河传》和《生死场》的合编本，萧红的主要作品）,¥13.20
分寸 跨越社交圈层的底层逻辑 短一分处处落下风 长一寸拿捏全世界...,¥26.00
人生忽如寄（汪曾祺诞辰103周年散文精选，特别纪念版。活在世上，...,¥37.40
崖上的波妞（宫崎骏作品。吉卜力官方唯一简体中文版。）,¥56.10
课文作家作品系列 文具的家 一年级下册 圣野著（语文教材配套、教...,¥9.40
云边有个小卖部（俞敏洪《在岁月中远行》单独撰文推荐，随书附赠...,¥28.00
一句顶一万句（一本让“中国脱口秀扛把子”李诞连声叫绝的茅奖好...,¥34.00
千与千寻（宫崎骏作品。日本上映20周年特别纪念！）,¥56.10
龙猫（宫崎骏代表作首次授权。吉卜力官方授权唯一简体中文版绘本...,¥48.90
大哥（套装共2册）,¥28.10
天空之城 宫崎骏原作 官方唯一正版授权,¥54.00
哈尔的移动城堡 宫崎骏 吉卜力官方正版授权唯一简体中文版 上映2...,¥59.00
时间从来不语，却回答了所有问题（文学大师季羡林百岁人生的智慧...,¥23.60
毛泽东选集（全四册，32开）,¥56.70
瓦尔登湖（经典新读 中央编译出版社）,¥9.90
十万个为什么 四年级下册快乐读书吧（含上下两本、彩色版 上下册...,¥36.00
苏东坡传（林语堂纪念典藏精装版）,¥26.00
认知觉醒：开启自我改变的原动力,¥29.90
也是冬天，也是春天：升级彩插版（收录迟子建最新散文力作及其经...,¥29.90
果麦经典：了凡四训（“我命由我不由天！”曾国藩、胡适、稻盛和...,¥16.00
悉达多（诺贝尔文学奖得主赫尔曼・黑塞的代表作，德文直译，原版...,¥17.40
杀死一只知更鸟（豆瓣9.3，关于勇气与正义的成长教科书，影响全球...,¥58.00
心安即是归处：季羡林百年生命智慧。央视《朗读者》多次动情朗读...,¥15.40
边城（沈从文诞辰120周年纪念典藏版）精选沈从文代表性的小说25篇...,¥17.50
大中华寻宝记系列 30 山西寻宝记,¥27.80
人生海海（麦家经典代表作，莫言、罗翔盛赞，入选《人民日报》书...,¥34.50
小王子（畅销500万册，罗翔老师推荐，李继宏口碑译作，作者基金会...,¥19.90
如果历史是一群喵13・大明皇朝篇,¥32.00
向上社交（打开你的社交格局，提供价值，让优秀的人主动靠近你）,¥35.80
人生没什么不可放下：弘一法师的人生智慧（弘一法师彻悟一生的人...,¥9.50
你也走了很远的路吧（新增2万余字，4篇文章，关于特殊时期成长的...,¥22.90
我有友情要出租（拼音版）,¥9.90
许三观卖血记（2017精装典藏版，增录新版自序）,¥27.20
尼尔斯骑鹅旅行记 快乐读书吧 六年级下册推荐阅读(中小学生课外阅...,¥7.60
涅朵奇卡：一个女人的一生（陀思妥耶夫斯基神作，王小波读完终生...,¥19.90
我爱这星河滚烫的人间：梁永安、戴建业等全力推荐！去经历，去冒...,¥24.90
愿望的实现 全彩注音 小学二年级下册 快乐读书吧 推荐阅读（有声...,¥10.50
灰尘的旅行 中国科普作品精选 人民教育出版社四年级下册（含上下...,¥24.00
马尔克斯：百年孤独（50周年纪念版）,¥39.60
指尖萤火（全2册）【限量特签版】网络原名：病弱反派饲养指南,¥34.90
神奇的答案之书（2024全新修订版，足足784页）畅销92个月的神奇之...,¥19.80
十万个为什么 快乐读书吧四年级下册推荐课外阅读青少版科普中小学...,¥10.30
悉达多（翻译家姜乙译本）【果麦经典】,¥16.00
妈妈的情绪影响孩子的一生,¥17.50
昆虫记 青少年儿童文学读物 (中小学生课外阅读指导丛书) 无障碍阅...,¥10.40
西游记 四大名著五年级下册推荐阅读(中小学生课外阅读指导丛书) ...,¥6.70
西游记 五年级下册（含上下两本、彩色版~上下册标志在封面书名后...,¥57.60
鲁滨逊漂流记（《语文》阅读丛书）人民文学出版社,¥12.50
宝宝入园能力培养绘本（全8册）幼儿园入园情商培养绘本我爱上幼儿...,¥39.80
古汉语常用字字典(第5版)新版商务印书馆 王力古汉语字典词典文言...,¥34.00
别怕！请允许一切发生：史铁生、汪曾祺、季羡林等文学大家 全新生...,¥16.90
乡土中国 高中“读整本书”推荐阅读 费孝通著作（名著阅读课程化...,¥17.10
经典常谈（精装，无删减版本，八年级下推荐阅读，朱自清先生普及...,¥11.60
又得浮生一日闲：丰子恺、季羡林、汪曾祺等文学大家 全新生活美学...,¥16.90
正是橙黄橘绿时（“中国好书奖”获得者肖复兴暖心新作，温暖你的...,¥21.10
骆驼祥子 七年级下 名著阅读课程化丛书 导读版 人民教育出版社,¥21.60
白鹅赶路（陈伯吹儿童文学奖等多项童书大奖得主彭万州赠予孩子的...,¥11.20
宝葫芦的秘密(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 ...,¥6.70
当妈是一种修行,¥33.10
法律的悖论（罗翔2023普法新作，走出独断思维，接受多元包容）,¥34.00
别想太多啦：在复杂的世界里，做一个简单的人（情绪疗愈指南，随...,¥21.90
作家榜名著：月亮与六便士（155万读者高分推荐！全新未删节插图珍...,¥19.90
金奖好书 小学生必背古诗词75+80首全国通用1-6年级含统编版人教版...,¥13.40
【2024北京寒假推荐书目】没头脑和不高兴（注音版）,¥15.00
四大名著套装 西游记 红楼梦 三国演义 水浒传 五年级下册快乐读书...,¥26.60
城南旧事（《语文》阅读丛书）人民文学出版社,¥13.00
三国演义 四大名著五年级下册推荐阅读(中小学生课外阅读指导丛书...,¥6.70
呼兰河传 (中小学生课外阅读指导丛书)彩插无障碍阅读 智慧熊图书,¥8.50
大头儿子和小头爸爸 小学二年级下册快乐读书吧课外阅读 全彩有声...,¥10.50
东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,¥32.80
课文作家作品系列 夏夜多美 一年级下册 彭万洲著（语文教材配套、...,¥9.40
课文作家作品系列 四个太阳 一年级下册 夏辇生著（语文教材配套、...,¥9.40
时代广场的蟋蟀：麦克米伦世纪大奖小说最新升级版,¥12.50
没有一种生活是可惜的（继《活着》之后，余华再论人生与自我）（...,¥25.90
橘子不是唯一的水果,¥24.50
季羡林：人生告白,¥19.30
小清欢【印特签版+当当定制贴纸】,¥35.80
钢铁是怎样炼成的（经典新读 中央编译出版社）,¥20.80
知行合一王阳明（百万读者的心学入门书！深入解读知行合一及其创...,¥24.90
天堂旅行团（继《全世界》《云边》之后，张嘉佳新书2021全新长篇...,¥34.50
透过地理看历史,¥24.00
海底两万里 七年级下册推荐阅读(中小学生课外阅读指导丛书) 无障...,¥6.70
汤姆・索亚历险记(《语文》阅读丛书)人民文学出版社,¥13.00
用思维导图读懂儿童心理学 快速破解儿童心理密码育儿百科 儿童行...,¥27.60
人类起源的演化过程 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛...,¥7.90
明朝那些事儿增补版.第1部（2021版）（当当专供）,¥32.40
爱丽丝漫游仙境 又名：爱丽丝漫游奇境 快乐读书吧 六年级下册推荐...,¥7.10
太白金星有点烦（马伯庸历史短小说“见微”系列口碑新作）,¥29.00
蝴蝶・豌豆花,¥10.10
围城,¥18.00
钢铁是怎样炼成的 八年级下 名著阅读课程化丛书 导读版 人民教育...,¥32.85
666件可写的事:创意无限的写作游戏书（盛行欧美的减压书，创意无...,¥11.50
骆驼祥子 七年级下册推荐阅读 中小学生课外阅读指导丛书 无障碍阅...,¥7.10
看看我们的地球 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 ...,¥7.90
雷雨（中国现代杰出剧作家曹禺的代表作，被翻译成各国语言的中国...,¥18.00
读读童谣和儿歌（1-4）全彩注音 小学一年级下册 快乐读书吧课外阅...,¥20.70
Vlog短视频创作从新手到高手,¥36.30
蓦然回首（藤本树  LookBack）,¥13.80
中华人民共和国民法典注释本（第三版）【标准文本 精准注释 百姓...,¥25.80
全球最美的100个地方 图说天下 寻梦之旅,¥26.30
从你的全世界路过：修订本（一本张嘉佳创作的、让所有人心动的睡...,¥20.70
