id,age,steps
39031,38,7467
33078,39,6184
72345,53,-1
90216,26,9941
91799,48,6403
32819,35,8028
38853,51,7982
44842,46,7187
7230,47,7292
73276,35,7397
61573,38,-1
1356,36,7860
68127,48,6065
14247,36,8087
40163,44,8475
39524,25,9681
71511,37,6206
49472,36,5878
58774,46,6889
97174,47,6130
70996,35,8976
50206,35,7590
9481,37,3265
48272,32,8345
6361,36,5642
72845,49,8153
59528,33,8288
88653,45,7092
78379,30,5240
29207,36,6997
11567,31,7344
79193,42,-1
67709,38,7113
6418,48,9790
28740,43,10038
1550,52,6652
25303,42,5005
71100,40,5726
11777,45,7487
76703,48,5740
60779,52,8629
80834,42,-1
97297,32,10061
68852,52,5066
45533,30,-1
457,45,7435
32936,32,-1
62387,29,8562
26778,53,6624
1684,42,6438
53449,38,-1
41515,39,5716
74373,46,5396
38269,29,8897
31176,26,8401
842,34,8193
43948,44,6849
62991,36,6434
32073,52,1921
46756,46,5586
54835,33,8010
33652,41,8102
58974,51,-1
42117,58,6321
97302,42,8823
61523,31,-1
22803,24,10544
73600,39,6237
40714,60,7078
20041,38,8806
88131,44,5538
55434,40,8546
23651,40,7157
21428,42,6258
88894,54,4966
98203,33,7512
49242,56,-1
2875,37,6852
20787,44,8869
97940,21,10209
58155,40,5580
16624,45,5935
41386,49,6267
17359,32,8534
78688,37,7210
68200,34,7830
23635,41,8209
9573,46,7179
69516,57,9480
12385,46,8528
53259,45,9305
95252,31,7959
69419,45,7426
6561,29,8349
47932,43,-1
80612,24,10144
43684,45,10409
97357,47,8204
15533,43,10472
5604,50,6676
3357,33,5766
92766,50,7140
75987,35,4786
60456,46,7998
83386,47,10784
6807,35,7412
76633,34,8907
53443,47,-1
19765,40,-1
33088,30,5229
6208,45,7079
95706,39,7050
83724,46,-1
97665,32,6390
38021,32,6664
7316,28,5802
49796,50,11153
97475,38,7499
80040,38,-1
94589,38,8452
47399,29,11673
42432,22,8152
86959,50,9099
91901,53,6167
60999,45,-1
13364,32,8787
88044,36,10581
14001,58,9800
29464,38,8106
41642,43,-1
37728,55,-1
17337,36,7233
58591,40,8561
35684,57,7503
54436,21,9628
79264,48,5577
64780,47,-1
25845,34,7151
2540,35,-1
11854,42,8617
87432,44,6508
80423,37,-1
77208,46,5366
83913,36,5856
63521,55,8580
6835,39,9463
96740,51,10370
69161,34,-1
69524,42,6178
76214,35,8014
20424,33,6667
4745,42,7455
46980,42,9880
82048,25,5726
21527,31,7929
67131,32,7296
56867,31,7823
14009,48,-1
35041,61,6315
979,41,-1
89661,33,-1
23152,47,2917
35254,47,8062
64819,45,9051
17254,45,5153
16349,41,6169
44076,43,8411
38359,45,9929
60144,30,8377
23137,57,7886
81393,54,6247
92357,61,6459
11147,30,10667
24113,48,-1
95916,47,10142
16240,36,5854
83366,49,6246
34272,38,7420
78668,48,5607
28861,47,7510
87337,48,-1
42288,31,6174
8452,46,-1
98337,50,7405
91385,32,9177
88,41,8772
36099,37,8620
69919,49,7082
83031,30,6753
34440,49,-1
24314,50,7343
49090,21,8969
67185,36,10340
31326,43,5019
20225,43,7052
29233,33,9369
65060,35,5515
49254,19,8584
5058,39,6465
9093,42,9298
59122,46,7488
97902,52,-1
16111,47,5986
18804,29,-1
5619,27,6275
28579,30,7197
36644,44,10704
70057,42,4970
43249,42,-1
35275,41,4014
632,42,5155
54727,38,7605
51582,35,6722
47282,54,6267
61933,37,10438
79167,53,4608
13711,37,8459
44315,30,7937
34502,41,5194
75772,42,5418
32738,46,5304
9558,29,8643
49973,18,10091
57406,35,7401
67940,37,8980
99632,37,8013
41377,38,10865
91942,41,7007
30758,10,9859
5970,45,6437
3629,51,7565
97405,26,-1
79163,47,8992
6270,33,6875
29023,30,11647
54155,62,-1
45208,34,7616
25330,27,10705
44263,36,10017
40471,35,9011
89332,44,4459
83501,40,5852
85079,51,10127
64904,40,6361
80832,29,10530
5376,50,6553
1478,34,-1
83942,39,-1
63779,31,6531
66519,41,8737
23883,46,6705
99126,39,-1
97618,48,7428
15190,37,6419
31787,43,-1
59276,47,9954
7828,36,9456
33888,32,8891
61406,41,5622
44643,50,8204
59149,33,5620
36061,32,-1
37036,46,5184
85808,46,7134
1458,34,-1
61539,41,9733
56281,24,8600
72431,53,6611
22332,41,4681
64126,45,7340
40450,37,-1
76299,45,7675
14882,32,10640
98932,40,-1
69682,47,-1
15760,44,9569
19212,36,-1
47410,38,10006
71712,58,3013
17590,55,-1
16895,41,6427
17370,31,6387
19294,23,7413
19662,24,7274
71585,48,7427
19041,38,7106
95008,34,12570
78529,41,8954
64348,41,8684
59845,36,7534
69680,41,7467
85334,39,6824
92695,48,6275
94226,58,7412
53272,32,8811
91042,43,7932
63041,43,7855
96083,44,8179
14778,47,9723
94216,29,6599
20352,38,-1
41696,18,7874
45123,59,6553
60228,41,7167
64111,35,8122
56660,51,5665
17415,40,10331
8285,42,10443
97808,47,7018
10645,46,6455
71845,39,6833
76480,40,7586
20014,52,-1
39700,48,-1
36204,22,9870
73564,35,6107
95865,38,6166
29567,40,7150
5178,38,8787
55640,32,5922
24605,28,7188
1879,44,7035
43273,45,7893
3208,56,6328
39576,34,8011
10182,50,6998
29887,24,9562
10405,39,8819
43759,29,8325
49901,27,8244
96665,48,6185
64393,43,8809
49226,52,7509
91930,38,6284
79357,43,10678
41915,33,5083
13547,38,8078
44613,34,3349
31249,43,9204
41408,47,7635
92316,39,9820
25170,33,7927
10120,18,8034
18647,30,7808
32182,47,-1
32417,32,8852
15938,36,5967
93544,40,7089
65083,42,7100
80512,28,8530
8027,40,7223
60396,31,8199
7142,29,8838
8443,58,8635
58021,38,7043
97908,69,7333
13099,30,6256
60291,49,7145
62011,46,6883
44098,40,8037
63189,38,7693
45815,47,4891
51361,32,9669
8022,24,7624
53308,41,3925
76516,46,5680
1126,53,5073
88360,43,10644
74195,35,9701
89351,45,6817
69614,31,9788
27914,56,7791
63904,48,7274
96700,42,6418
96891,52,3383
89555,45,8485
690,39,4597
82327,55,8094
28384,38,7973
70095,52,9646
17620,39,8795
50524,39,8889
58468,40,5677
84919,34,-1
54831,44,10782
27404,32,10073
60284,37,9711
15359,32,6771
85766,37,6229
11906,28,7886
41533,41,6540
25369,38,7024
17471,39,11591
41647,47,7494
96260,48,6603
86152,64,5476
27816,43,8083
41558,39,8254
37247,37,7236
69695,33,8739
10571,39,7364
37199,41,8842
32236,50,7740
45862,29,8401
43640,39,6608
35015,47,3173
10765,40,10892
52411,41,8393
29857,42,5952
4688,30,7272
46028,39,8472
68437,39,7231
34900,47,6841
75262,45,-1
76093,38,7431
70346,40,6219
47692,51,8069
62739,26,9362
61145,41,8126
32319,50,6038
84763,40,5927
53835,30,8425
94958,29,5426
82628,32,8114
89602,38,7682
29352,38,7791
68073,39,-1
13735,30,-1
99462,48,8817
60783,43,9710
74545,37,6809
10463,26,7232
19729,53,7822
77950,29,8888
71191,43,10314
24013,43,7422
34863,53,7436
56007,55,7264
85671,55,6658
82400,42,5822
27720,51,6992
38193,49,6098
6104,45,4941
43961,47,4923
37008,30,9563
96511,33,5736
72334,39,6527
47849,41,4415
14107,43,5759
2286,45,6178
41996,30,9232
40570,45,8462
96611,32,4961
63340,42,4907
65801,44,7782
41469,48,4864
1419,41,6975
45459,27,8151
31271,37,-1
60813,34,9730
53081,67,5638
52695,39,8069
7777,26,-1
74376,48,6236
3198,38,7630
24784,30,7440
80384,45,7623
40368,46,7682
37818,35,-1
11256,45,6177
68386,41,10083
21641,55,8015
87655,41,6971
9994,39,7448
91613,42,9409
87076,40,7299
86443,35,5181
31895,47,-1
26973,54,6610
14236,48,7995
24868,57,7685
71935,43,9406
89797,42,6095
8224,42,5139
2098,34,6455
16635,29,6763
48007,56,8727
98734,48,6767
45508,29,9666
14729,59,5804
94912,27,9519
43672,36,8346
55608,36,-1
55379,40,9467
28601,35,-1
30687,61,8513
66331,40,6176
47152,42,7501
45837,51,8221
6843,35,8227
50922,25,-1
9351,44,7505
4684,47,8400
55732,41,-1
84865,38,8500
42507,40,8906
81410,38,8614
9508,45,5541
6728,42,8722
45451,58,5309
87914,48,6830
83832,27,7906
95825,24,8641
69790,41,8928
38410,50,7861
57394,33,8506
96566,48,8221
84812,31,8944
74250,35,6987
55526,48,7361
37013,31,6956
92624,47,7914
91733,44,7548
19972,40,4824
79425,49,6710
97412,34,6407
28422,47,3624
64475,41,6726
26384,41,9613
36186,61,6611
85635,39,7787
12125,47,5147
7037,37,8898
4578,38,6045
22279,48,7140
76774,37,9305
51561,36,10146
58299,41,4059
89645,33,7417
59706,55,8711
64233,31,6585
40061,34,4600
52028,49,8410
4604,42,5576
68067,39,9705
47082,38,-1
38303,31,5443
41998,33,9195
4285,45,4830
39456,46,6050
64086,35,8687
51416,48,7703
34287,50,-1
95111,32,8748
55080,25,8812
32394,27,10662
46276,43,8903
7007,40,-1
94186,46,6914
55440,36,7672
22957,44,5677
86506,44,-1
91437,34,8993
35235,44,7925
46724,41,-1
52354,32,8383
99234,44,8851
25716,45,9497
48717,37,9508
53057,33,5553
42377,45,5134
75299,41,8912
33711,30,6177
79583,45,6397
78695,40,9950
36339,30,-1
34628,47,8240
52080,48,-1
34350,48,5718
86280,35,10097
15356,37,9596
39912,56,5385
95884,50,-1
25088,44,6132
84699,43,8046
21599,42,-1
43941,36,-1
38214,35,-1
50943,48,6643
93273,38,7057
26101,51,8257
39631,44,8142
30572,50,-1
95770,45,6224
4731,52,7034
89564,31,10257
39343,40,8634
6767,49,5918
38676,39,7559
91525,45,-1
13670,49,-1
95819,52,8379
54191,51,7961
19526,22,8183
38929,33,8875
90089,48,7432
20749,38,9116
25087,45,7212
84915,36,8214
58124,25,6617
58695,49,5621
79908,32,-1
41512,34,7293
40885,43,8193
46838,18,10073
18749,37,5971
31631,30,-1
13695,37,-1
59920,48,6334
32318,29,9706
1477,50,5603
47978,25,10597
70863,58,4446
57511,49,8735
3416,51,8709
17919,43,6285
65554,49,-1
91789,39,8650
46736,44,6736
16421,42,8002
90715,42,6486
19903,27,4730
52525,38,7591
16210,41,8958
51132,26,9545
38351,46,4390
12469,57,4818
28046,39,6674
54706,43,5323
63809,50,5219
74743,30,7859
42524,42,5117
79774,47,6769
88081,55,5768
16823,33,7797
7794,41,5761
98680,45,7278
46541,49,6144
16276,58,8003
64129,44,6610
65574,32,9151
2225,45,7587
8821,49,7553
22731,51,7709
44880,56,7812
14889,33,7356
39973,33,9351
70090,43,7890
4658,38,8519
86688,56,-1
53637,42,7503
98869,34,8110
85888,38,7519
63398,46,7834
50963,37,9862
76262,44,8576
57947,46,6468
57048,44,7836
16736,45,6678
19783,55,5443
1860,34,6181
27078,31,8329
23476,42,6470
72758,38,9956
2327,27,6027
71009,37,7515
89302,40,5852
19223,44,-1
68851,50,7014
13557,55,7900
90783,51,5973
18995,50,7736
8842,56,6070
65662,32,10000
98474,48,7345
18373,41,7346
15741,45,9605
78908,46,6120
38683,36,9042
47477,33,7861
70517,32,6942
22153,43,-1
21461,49,6787
45491,50,7888
54571,49,5747
98684,51,6803
19066,20,-1
80917,42,6605
88169,42,6613
71737,47,10247
39301,52,6075
66438,29,6819
17134,34,7782
88945,43,5761
34093,39,6737
46206,40,6828
30721,24,7913
26846,34,7604
99109,36,4873
63162,40,6635
46100,41,4855
82479,36,8158
46279,61,6982
42355,38,6456
92979,58,5866
77725,36,10540
38642,40,5447
88880,37,7548
81143,22,9637
27642,53,6005
99955,49,4774
68671,45,5656
72863,40,6752
35083,38,8645
35407,33,8113
68188,38,8846
11931,42,7448
2372,43,5511
4051,30,10268
36361,58,6044
34586,35,4979
33233,54,6476
96959,45,7488
85747,45,5580
81460,35,6363
59154,28,7977
92967,38,8009
53145,38,5584
15478,36,8721
47987,48,8034
24006,21,-1
52212,35,8370
87941,38,7657
45934,53,5617
1318,50,7152
1738,40,7552
11689,38,7713
4004,28,6586
1761,33,10130
25352,24,7662
6318,43,9488
66232,47,7211
96688,54,6186
72228,47,5648
25857,46,8355
13567,43,6706
72696,30,10594
53392,33,5750
7705,52,8177
35246,55,-1
52558,43,7417
45122,34,7715
81656,33,6420
97666,36,7735
50412,39,6444
75274,37,7503
31196,42,5327
97206,31,8767
78875,50,7093
49959,36,8382
65381,18,9879
85176,28,9347
87085,42,7001
50242,24,-1
37523,39,-1
96813,21,-1
66136,32,9405
65314,55,7828
53737,40,7479
86755,40,5831
90530,48,4939
26320,56,6474
12908,39,6210
38124,37,-1
53710,45,-1
9996,56,6899
86476,47,6450
47015,49,6485
22006,45,7619
13948,38,6640
93144,44,10580
31939,46,8219
64160,53,5792
74118,32,7938
10630,35,8249
19479,30,9717
9783,26,6237
52639,36,7609
42972,46,7763
31794,49,5584
44636,34,11189
64798,32,6890
46640,58,7928
19468,34,-1
52827,38,5961
88365,51,5874
41796,45,7673
34605,46,5920
44000,24,-1
30160,41,6356
18360,54,7030
28267,55,5332
87575,38,5778
75325,54,7320
12995,39,-1
88673,26,-1
3789,37,6799
29694,46,7057
82908,50,10171
6324,37,6166
25389,45,-1
7696,50,8281
32200,38,6368
92832,47,-1
36013,32,7247
15824,27,7664
72426,35,9806
20135,47,11314
54662,39,8262
22751,36,10043
8542,58,5179
18965,54,6720
60023,48,7587
10540,33,11274
31564,35,6244
79022,33,7074
92459,37,8033
29976,39,6549
21115,39,8651
16672,48,-1
45756,52,8581
5903,33,8112
28043,45,7878
86954,37,8393
69670,17,7518
12902,49,5458
47564,41,8672
43081,41,8016
82481,35,8245
39197,52,7580
7209,51,10358
3767,40,7019
24251,53,6116
39719,50,-1
24393,58,8109
88250,41,4103
97656,57,7121
92663,40,8797
68163,36,6027
44745,32,7609
35991,50,9672
59808,39,9569
30463,42,6775
19922,39,6812
91610,51,-1
50407,55,9255
50680,54,5593
96873,41,11015
23629,33,6466
51849,51,8009
54198,47,6693
95814,56,6085
82473,58,7077
35928,35,7694
68092,36,5013
44323,43,7803
16051,51,7505
93213,50,7900
81031,35,8114
4145,37,7529
70830,31,7340
33113,32,5536
63199,38,10967
51085,33,9311
15502,54,-1
92581,48,8597
8991,60,6161
33019,26,-1
44988,43,4236
17172,40,7501
72263,32,5678
9026,49,7223
42064,25,8902
61511,41,11179
10926,43,8332
36627,44,5828
84378,38,9020
76718,37,-1
5567,39,9845
96799,37,5602
76561,52,10411
76782,51,6027
43236,42,6163
45274,25,9566
79010,40,7585
61898,42,8643
73473,42,7233
99769,50,8258
67812,40,8558
55410,47,7595
74061,42,6453
22021,57,-1
7068,29,8563
72549,37,6738
2259,32,9138
76926,44,7138
16431,21,8315
84241,34,-1
62667,60,5775
53899,39,6444
65433,47,5459
73316,36,-1
25182,67,-1
5982,37,8384
28895,26,6761
13928,42,-1
58484,45,4987
28362,37,-1
83126,23,8145
77964,49,8452
44118,52,-1
40207,43,6681
55170,55,4082
60790,41,7685
67842,57,4686
96565,25,5668
33567,42,5112
22644,48,-1
52141,46,8335
17093,47,-1
3896,41,6674
42665,36,6699
76206,34,7996
89977,30,5818
75102,47,7654
66476,30,7538
3804,61,5995
23654,44,7429
90534,40,6869
96281,33,4634
91374,36,8925
54356,35,7318
16667,38,6575
50518,28,7882
75767,35,7369
34714,56,6041
88542,52,6548
88659,41,6934
21588,51,6749
96009,47,-1
58471,47,6655
76622,31,4435
23796,36,6434
88906,45,7269
68680,51,6094
74833,34,8750
84913,40,6692
44701,43,5455
27953,45,8236
95340,26,6931
70237,41,8079
11331,45,5119
32546,42,-1
22262,51,5203
92452,39,7301
9030,41,9024
398,25,5423
29064,43,6197
24445,33,7197
84014,46,7957
29909,36,7558
92130,43,9240
35217,21,7902
92256,46,9201
95336,43,-1
84772,47,6718
82268,31,9236
51266,43,6232
93161,53,6913
55334,41,6141
23228,37,7337
79956,28,8205
95675,45,6268
25889,32,6214
78888,45,-1
98517,50,10822
45325,36,8255
68016,46,4758
73160,52,7512
10843,28,9574
34363,41,3722
58912,38,9644
90287,47,3520
45936,24,7973
90465,28,9180
57067,42,7282
75708,32,6767
89884,43,7612
63635,35,7493
17001,40,6731
91259,42,6754
11449,36,8396
54085,40,5222
23843,33,7598
81761,20,10210
95468,30,9545
10783,47,7910
62281,49,6784
17246,23,6900
68781,37,7421
77957,49,8920
67724,40,7360
933,39,8640
52936,33,7357
55536,31,6871
44796,34,8013
40559,34,8060
28583,36,7099
803,26,-1
67328,44,9033
43582,38,10176
39011,42,7575
69927,39,8592
54212,40,5459
84830,33,8973
57151,30,10326
47294,41,7129
97159,38,8519
12681,44,-1
48130,34,6224
20803,35,-1
34513,38,6104
51181,43,5848
15742,36,8384
43607,35,7600
41137,34,7873
69901,38,6597
17972,36,5618
17190,36,-1
91913,27,11624
2430,35,7332
94484,30,6639
46689,33,10656
30502,58,6509
87543,37,6430
16801,33,6164
23865,47,7331
7363,42,8087
85138,45,7168
14545,48,5344
66449,37,6138
93007,33,8766
58982,47,7058
32608,43,-1
85385,47,-1
91787,34,-1
15257,35,9720
69379,36,-1
21538,39,7562
65571,28,8328
17318,22,7171
33801,43,6407
87105,40,6388
42834,48,6576
44618,36,8985
72290,43,-1
35392,29,9791
13290,37,7307
25833,44,4179
33225,51,8040
38791,43,6410
19375,29,9161
17109,49,7812
60567,39,7266
20261,42,-1
69452,38,5026
96896,43,6677
5809,38,4770
66424,41,6006
99753,47,7346
22048,42,8939
20260,33,7498
54371,47,5778
9368,52,7510
36991,42,5595
67634,40,9684
46189,39,-1
13821,51,9290
65588,51,6331
57095,49,8435
14657,30,9247
52658,28,8909
70884,50,8082
75098,34,10877
74047,32,9144
88702,41,6716
60780,37,9221
572,33,7562
22192,49,7813
50334,41,7930
44952,48,6111
10898,26,8402
27099,47,8896
17549,44,8273
61461,43,6620
28745,41,6010
23779,42,5796
82157,37,6691
92063,40,7957
25535,39,8569
24088,52,7515
32774,49,8354
12282,30,8075
76995,43,9931
81629,36,8219
63383,46,6905
45446,37,8465
195,20,11466
52894,30,6197
84722,52,6764
51811,47,6486
47745,35,8843
86726,52,8927
32710,51,4057
68277,37,7774
71917,42,6324
12400,41,6781
9904,31,6784
64786,50,7691
99148,43,6098
67150,35,7964
41322,31,9107
9983,53,-1
60789,37,7622
34150,42,9312
4911,39,10309
91830,43,7603
69791,53,7707
4449,62,3965
47667,37,8585
7842,34,7364
28126,54,6845
36920,28,8695
9870,52,7093
20268,41,8574
82271,40,5464
77039,28,7950
77381,43,9799
93353,49,5117
69602,51,-1
90964,37,7528
6321,37,-1
24052,41,9453
69801,50,7411
75472,35,-1
77510,38,9981
23660,18,-1
9908,43,8070
76861,24,10333
60620,36,11676
13955,38,7773
90242,43,7358
88492,35,7793
39905,56,5089
82952,42,7922
26934,46,6614
16009,29,8681
26473,49,3757
72164,54,9760
44193,38,7232
11491,43,8606
62696,40,8221
82312,38,-1
13884,54,6760
86223,57,3827
2212,40,8953
87118,45,5646
41622,41,7961
55955,39,9735
57491,46,4773
71512,54,9014
60421,32,-1
28792,52,7113
81364,46,7216
84288,37,10148
73009,56,-1
48927,60,6346
52353,40,8970
16853,33,6553
40211,38,6896
27876,42,7607
54449,29,-1
53988,46,7288
12986,22,7653
86638,40,3549
49787,27,7167
24147,44,5534
14007,61,5644
51427,41,7703
81983,44,8647
20584,26,10907
11030,37,6946
1520,25,8097
14181,44,7815
32715,37,7300
50361,52,7171
83220,40,-1
60418,30,-1
42199,40,6094
74972,56,-1
59161,31,5860
66840,31,7462
83625,29,6581
99110,39,8961
96064,29,6484
48936,42,6358
1870,26,7087
93881,33,5249
7720,32,9985
65845,36,6554
59964,52,5914
46575,41,7152
34573,50,6327
5134,60,4505
67601,56,8434
93044,44,6951
37466,26,-1
41295,28,9294
2516,56,9165
33195,31,8530
33029,51,6405
76346,37,6034
32178,67,9318
11265,61,8085
18437,48,8339
96555,58,6342
95985,50,7193
6468,52,-1
30874,33,7791
73080,27,7289
57489,40,9019
1858,45,7377
4613,35,6049
13190,45,5833
24413,34,10427
94317,48,8235
28035,34,7038
81711,46,6968
46601,32,-1
79216,56,4796
30658,34,8993
17819,32,6510
73148,38,7793
45297,32,-1
24540,43,7354
73449,42,11626
30390,38,7042
70129,44,4978
77946,45,8951
9162,50,6846
83514,22,7335
11894,30,8256
29449,30,10988
97181,45,10553
85484,47,9483
24460,44,7700
9188,45,6293
91236,41,6542
10899,47,8862
67910,59,6393
78091,32,8722
37037,48,6056
27456,46,8138
833,28,9081
97200,35,8740
30420,39,6586
89727,46,7754
48808,49,-1
85582,35,7184
61520,28,7347
28137,33,6894
5986,42,5406
47939,26,8370
59663,40,4983
30310,36,6508
64436,44,8375
30725,36,9094
95815,41,7538
31813,57,6584
54764,36,6820
81313,42,6427
36909,38,7059
43688,49,9661
94961,43,8489
70140,51,7789
6650,49,5558
81692,44,5636
57729,46,5820
76035,22,9896
52489,56,6538
21666,27,9012
20412,37,7385
7808,52,4677
79342,43,7163
36570,24,5845
87584,67,5040
92336,48,8026
90049,36,9315
85054,29,8012
15865,46,6258
15194,46,6896
46878,19,-1
98340,30,7296
9965,35,6553
85541,37,7117
81815,49,7498
60980,39,7867
99967,36,6805
42696,41,6016
61111,55,6381
12896,49,6020
62563,49,6388
70416,39,8312
9819,41,6737
87,43,6935
59822,47,7635
7480,42,8010
48496,46,5531
95728,41,5717
21731,41,8046
70756,45,-1
39466,43,5470
347,53,7860
24038,39,6976
77943,24,8234
43608,27,8040
94777,48,5777
44375,39,-1
40569,30,6096
19981,44,7471
43846,33,7569
73700,42,9089
4413,37,8201
19778,45,7817
37786,59,7994
25134,47,6925
74126,37,9823
21614,34,8584
76397,48,5153
83843,23,9329
32002,36,-1
68210,44,7652
27790,45,8489
77238,53,6184
96670,35,8150
82179,44,-1
88106,48,8555
15697,29,6164
49182,37,9067
76039,49,7872
52274,54,5313
76139,31,6201
38761,40,-1
41228,39,9292
74786,59,6354
6877,21,6970
42134,60,6563
79243,39,7511
40350,22,10565
61237,46,7548
49317,33,8902
2437,47,5958
18596,44,7429
98707,39,7945
40026,43,6221
91722,39,8868
7116,46,7896
40650,29,8087
30151,22,7083
94184,52,7035
61783,44,7846
87314,60,-1
92521,35,8693
92991,34,9802
23062,48,6917
36998,34,6206
47520,44,-1
71010,38,6121
21374,43,7204
70232,53,5286
14377,55,6355
18024,35,5980
78202,34,7932
40628,51,7469
34455,50,7243
35767,36,8346
72581,33,6794
90721,40,9223
5089,37,-1
35020,30,6535
33242,40,7209
18987,43,6958
51617,36,8681
70974,35,5869
87707,32,8327
75441,50,7211
65981,35,7379
36234,39,8067
43659,49,6090
17805,30,11039
26192,32,5110
38643,44,6328
83034,23,10830
91546,44,6552
12478,54,6994
57421,52,6391
72142,31,9006
45529,45,6479
93219,43,7489
65528,48,6626
64717,38,8264
8887,20,8271
49533,42,6387
78351,54,7367
56158,41,7726
3842,50,6640
88214,46,5964
17911,40,-1
94537,29,9893
83068,21,9020
95704,43,7211
52826,37,8947
84259,56,6694
53841,43,8966
50215,37,8426
10723,36,6692
55307,37,7465
16393,39,-1
80430,43,6398
71478,29,7453
39775,25,9250
29983,50,5894
28078,45,-1
71599,22,4522
6091,49,7298
76812,48,5030
61392,49,7815
67458,33,-1
47509,44,7951
85168,38,7577
474,41,4834
93716,44,9334
27458,40,9875
365,37,7527
96070,33,9709
96971,32,6940
97194,46,-1
80503,18,9837
58093,52,6335
36141,56,-1
49785,39,7824
17720,26,8371
74200,53,5971
83246,47,8787
66680,47,7415
15442,41,7626
30673,47,7139
29950,45,5374
19310,34,8011
95601,33,9381
11193,28,7551
34257,37,5960
30000,49,6928
43217,37,8565
35558,23,9110
7617,39,9341
28778,29,4328
99886,42,8011
47108,47,9165
36529,38,10866
26845,49,5862
18694,32,6447
88374,43,8205
71394,44,8351
80276,25,11923
82731,31,-1
88026,44,7576
95027,40,-1
26112,50,-1
85749,42,5050
46391,31,9634
44155,39,6343
78244,43,5425
91361,44,9557
9836,45,7904
22915,39,-1
56619,41,-1
7255,50,7750
49019,35,9383
90989,30,6764
45545,34,10056
7673,34,6897
3915,37,6560
11965,42,6768
33873,27,7909
53691,47,9800
35836,36,7597
84426,46,7885
89550,41,6513
32489,49,4447
92702,45,7561
58134,29,6601
47329,41,9322
29382,43,9031
55196,33,6776
30510,37,10795
72305,38,6869
78333,39,7189
84992,33,7457
32248,44,6308
12769,43,-1
51625,50,5891
13940,34,6088
64957,31,-1
77210,33,11390
68518,42,6060
44496,26,7815
27847,61,6605
28905,46,-1
23973,45,7679
44744,53,8178
34933,37,8498
7858,39,9216
99907,34,-1
83594,29,11023
37023,42,-1
39345,55,7949
12825,42,5717
24554,38,7300
84150,40,7642
21437,39,6939
85895,36,7103
65791,53,8823
89021,39,8192
28816,41,6647
59400,46,6131
19711,28,9525
77025,50,5404
10855,50,9149
42352,39,-1
34170,49,8588
40560,43,6677
17906,28,7620
93243,26,9937
94471,37,7057
98003,36,6284
25873,22,7615
37033,31,11505
97362,41,5074
618,36,8357
81757,33,6507
4151,57,6124
88341,48,8879
58631,48,6285
76207,36,8621
16372,41,5791
56135,51,-1
82851,45,4326
22977,51,5790
20190,24,6416
5938,42,4846
81988,41,6388
56038,54,6183
99131,43,6354
90235,37,7296
87661,42,9600
82729,46,8751
124,45,7145
33294,37,8275
23739,35,7219
38874,32,-1
6293,37,9316
47347,39,5647
8813,35,5943
11175,43,7112
87379,22,5496
39480,40,8286
8037,35,5991
66122,56,6931
80087,56,4595
5781,45,5080
95140,48,6013
87322,25,9130
47029,34,7015
18783,37,8495
19425,41,5036
9755,32,6349
59152,49,6045
51698,50,8106
36457,50,-1
90893,28,8414
74629,38,4667
50514,49,6230
54493,41,9246
81025,52,4582
27093,40,6591
62975,48,7256
44394,42,8514
80301,34,-1
775,27,7287
